313
2945 -1466 164,1 2,stand,,,
3057 -1473 164,0 3 273,stand,,,
2712 -1456 164,0,crouch,,,
3042 -1607 160,1 4 22,stand,,,
3033 -1737 160,3 5 22,stand,,,
2824 -1739 160,4 6 22,stand,,,
2595 -1736 160,5 7 23,stand,,,
2493 -1744 160,6 8 23 213,stand,,,
2445 -1888 160,7 9 212 213,stand,,,
2492 -2133 160,8 10,stand,,,
2478 -2414 160,9 11,stand,,,
2363 -2418 160,10 12 212,stand,,,
2270 -2456 160,11 13,stand,,,
2084 -2446 160,12 14 207 200 210,stand,,,
2072 -2803 160,13 15 210,stand,,,
1657 -2811 160,14 16 173 210 200 189,stand,,,
1454 -2812 160,15 17 189 199,stand,,,
1205 -2823 208,16 18 162,stand,,,
1027 -2830 184,17 19 190,stand,,,
900 -2813 208,18 20,stand,,,
902 -2591 208,19 21 148,stand,,,
904 -2234 208,20 144,stand,,,
2957 -1638 160,23 3 4 5,stand,,,
2553 -1597 160,22 6 7 24 213 214,stand,,,
2523 -1222 160,23 25 230 214 215 229,stand,,,
2783 -1064 160,24 26 230 271 275,stand,,,
3032 -970 160,25 27 274 275 266,stand,,,
2986 -695 160,26 28 266 264 263 278,stand,,,
2633 -528 160,27 29 262 263 276 277 289,stand,,,
2571 -193 160,28 30 285,stand,,,
2484 247 160,29 31,stand,,,
2223 243 159,30 32,stand,,,
2000 175 154,31 33,stand,,,
1713 229 148,32 34 57,stand,,,
1529 237 144,33 35,stand,,,
1112 237 16,34 36 37 38,stand,,,
827 233 16,35 37,stand,,,
902 118 16,36 35 43 44 41,stand,,,
1106 126 16,35 39 40,stand,,,
1605 133 16,38,stand,,,
1137 -49 16,38 41,stand,,,
1013 -105 16,40 42 43 37,stand,,,
1014 -482 16,41 49 50 53 64,stand,,,
917 -89 16,37 44 41 48,stand,,,
856 -62 16,37 45 43,stand,,,
821 -131 16,44 46,stand,,,
843 -240 16,45 47 52 48,stand,,,
585 -242 16,46 87,stand,,,
899 -290 16,43 49 46,stand,,,
920 -474 16,48 42 52 66 64,stand,,,
1368 -537 16,42 51,stand,,,
1624 -458 16,50,stand,,,
831 -483 16,46 49 64,stand,,,
1087 -628 16,42 54 58 66,stand,,,
1568 -638 145,53 55 233 234,stand,,,
1813 -630 150,54 56 232 233 301,stand,,,
1698 -330 148,55 57 301,stand,,,
1709 -83 169,56 33,stand,,,
1131 -796 31,53 59 66,stand,,,
1008 -890 16,58 60,climb,,,
1008 -890 235,59 61,climb,,,
1008 -956 236,60 62,stand,,,
1030 -1146 236,61 63,stand,,,
988 -1381 236,62,crouch,,,
840 -741 16,52 65 66 49 42 67 108,stand,,,
851 -979 16,64 66 108 107 106,stand,,,
966 -693 16,49 64 53 58 65,stand,,,
571 -738 16,64 68 108,stand,,,
415 -719 16,67 69 76 75 84 83,stand,,,
435 -594 16,68 70 75 76 85,stand,,,
441 -302 16,69 71,stand,,,
370 -8 16,70 72 73,stand,,,
215 -72 16,71 73 74,stand,,,
205 -306 16,72 74 71 77,stand,,,
271 -304 16,73 75 72,stand,,,
278 -516 16,74 76 69 68,stand,,,
218 -792 16,75 69 81 82 68 84 83,stand,,,
177 -556 152,78 80 73,crouch,,,
152 -553 230,77 79,crouch,,,
61 -447 192,78,stand,,,
198 -707 192,77 302,stand,,,
-77 -827 16,76 82 83,stand,,,
-108 -1015 16,81 83 76,stand,,,
170 -1035 16,82 84 81 68 97 76,stand,,,
422 -1037 16,83 68 76 103 106,stand,,,
550 -590 32,69 86 90,stand,,,
633 -464 32,85 87 89,stand,,,
592 -375 32,86 47 88,stand,,,
720 -363 32,87,stand,,,
757 -661 32,86 90 91,stand,,,
627 -652 32,89 85,stand,,,
774 -401 168,89 92 96 93,stand,,,
671 -327 168,91 93 96,stand,,,
552 -479 168,92 94 96 91,stand,,,
588 -657 168,93 95 96,stand,,,
711 -621 168,94 96,stand,,,
676 -496 168,95 92 91 94 93,stand,,,
185 -1149 32,83 98 104 105,stand,,,
299 -1304 32,97 99 105 104,stand,,,
281 -1481 32,98 100 312,stand,,,
349 -1586 32,99 101 312,stand,,,
368 -1582 60,100 102,crouch,,,
405 -1582 16,101 103 134 136 145,stand,,,
418 -1366 16,102 84 136,stand,,,
23 -1144 32,97 105 98,stand,,,
21 -1306 32,104 97 98,stand,,,
602 -1101 16,84 107 108 65,stand,,,
754 -1315 16,106 65 109,stand,,,
690 -946 16,106 67 65 64,stand,,,
836 -1450 16,107 110 114 145 259,stand,,,
913 -1672 16,109 111 114 259,stand,,,
1267 -1677 46,110 112 245 261,stand,,,
1472 -1712 68,111 113,stand,,,
1801 -1698 105,112 198 260,stand,,,
806 -1708 16,110 115 136 109 137 145,stand,,,
716 -1923 16,114 116 135 136 145,stand,,,
693 -2099 16,115 117 135 145,stand,,,
565 -2146 16,116 118 126,stand,,,
544 -2268 16,117 119 126 146,stand,,,
521 -2421 16,118 120 124,stand,,,
501 -2624 16,119 121 122,stand,,,
468 -2835 16,120 147,stand,,,
789 -2602 16,120 123,stand,,,
830 -2488 16,122 124,stand,,,
824 -2417 16,123 119 125,stand,,,
711 -2280 16,124,stand,,,
