233
-167.4 -1889.4 -500.875,17 10 12,stand,,,
-2136.4 -5855.4 -433.633,4 2,stand,,,
-2136.4 -5903.4 -432.13,4 1 9 3,stand,,,
-2088.4 -5903.4 -428.878,6 2,stand,,,
-2088.4 -5855.4 -430.382,2 5 1 25,stand,,,
-2040.4 -5855.4 -426.992,6 4 25,stand,,,
-2040.4 -5903.4 -425.812,7 3 5,stand,,,
-2040.4 -5951.4 -423.856,6 8,stand,,,
-2088.4 -5951.4 -426.922,9 7,stand,,,
-2136.4 -5951.4 -430.174,8 2 18,stand,,,
-119.4 -1889.4 -500.875,11 17 0,stand,,,
-71.4004 -1889.4 -500.875,10 14 69,stand,,,
-295.4 -1889.4 -500.875,0 13 16 14 191,stand,,,
-343.4 -1905.4 -500.875,12 72,stand,,,
-215.4 -1921.4 -500.875,15 12 11,stand,,,
-215.4 -1857.4 -500.875,16 17 14 193,stand,,,
-295.4 -1841.4 -500.875,12 15 72 198,stand,,,
-135.4 -1841.4 -500.875,10 0 15,stand,,,
-2375.31 -5587.44 -441.79,9 19 25,stand,,,
-2852.56 -5294.25 -435.195,18 20 23 50,stand,,,
-2798.94 -4791.58 -442.252,19 21 23 23,stand,,,
-2970.34 -4752.68 -452.279,22 20 38,stand,,,
-2973.86 -5051.27 -452.875,21,stand,,,
-2400.56 -4734.92 -423.809,20 24 19 20 39 25,stand,,,
-2126.55 -4680.35 -433.859,23 25 26 46 39,stand,,,
-1963.17 -5440.21 -426.896,18 5 4 24 23 40,stand,,,
-2071.19 -4015.14 -436.981,24 27,stand,,,
-2096.02 -3507.86 -436.501,26 28 35 29,stand,,,
-2004.41 -2580.01 -447.941,27 29 34 56 58,stand,,,
-2361.62 -2391.53 -465.35,28 30 145 27,stand,,,
-2696.99 -2375.48 -449.044,29 31 54 145,stand,,,
-2748.65 -2566.79 -456.933,30 32 33 54,stand,,,
-2464.45 -2573.86 -472.875,31,stand,,,
-2725.8 -2683.91 -438.517,31 34,stand,,,
-2522.39 -2824.95 -458.614,33 28 35,stand,,,
-2408.5 -3307.72 -424.692,34 27 36,stand,,,
-2596.11 -3510.17 -296.101,35 37 47,stand,,,
-2790.11 -3651.56 -264.255,36 38 47,stand,,,
-2959.56 -4025.67 -395.212,37 21 48 49,stand,,,
-2672.33 -4370.85 -363.533,23 24 47,stand,,,
-1784.88 -5514.2 -420.739,25 41 46,stand,,,
-1763.29 -5560.12 -403.875,40 42,stand,,,
-1766.34 -5615.1 -403.875,41 43,stand,,,
-1733.4 -5637.74 -403.875,42 44,climb,8.47046 72.9547 0,,
-1713.55 -5600.85 -115.375,43 45,climb,18.5889 -115.592 0,,
-1660.4 -5550.35 -139.875,44,stand,,,
-1854.64 -4857.12 -417.007,40 24,stand,,,
-2636.09 -3848.99 -289.067,39 37 36,stand,,,
-3381.96 -3889.82 -410.306,38 49 51,stand,,,
-3447.33 -4660.52 -431.178,50 38 48,stand,,,
-3196.52 -5152.38 -443.696,49 19,stand,,,
-3730.09 -3267.76 -416.591,48 52,stand,,,
-3687.76 -2732.24 -401.857,51 53 55,stand,,,
-3284.54 -2432.76 -405.038,54 52 55 161,stand,,,
-2980.84 -2455.3 -415.085,53 31 30,stand,,,
-3460.98 -2044.15 -406.575,52 53 146 161,stand,,,
-1844.08 -2006.49 -434.939,28 57 144 145 214 215,stand,,,
-1410.81 -2120.78 -426.266,56 59 58 63 64,stand,,,
-1707.33 -2451.26 -370.908,28 59 57,stand,,,
-1160.15 -2309.55 -413.365,58 57 60 63 195 64,stand,,,
-571.056 -2302.05 -392.612,59 61 62 63,stand,,,
-106.404 -2205 -357.055,60 62 65,stand,,,
-105.136 -2314.49 -393.899,61 60,stand,,,
-934.389 -2176.38 -413.435,60 59 57 64 195,stand,,,
-1265.98 -1950.39 -399.31,57 63 195 213 214 59,stand,,,
5.95679 -2213.96 -311.875,61 66,stand,,,
171.798 -2208.73 -263.875,65 67,stand,,,
161.28 -2082 -263.875,66 68,stand,,,
35.4267 -2081.17 -263.875,67,stand,,,
66.5786 -1884.43 -500.875,70 11,stand,,,
65.4268 -1947.41 -500.875,69 71,stand,,,
683.552 -1933.81 -500.875,70 89,stand,,,
-471.242 -1901.74 -541.875,13 73 16,stand,,,
-571.142 -1953.28 -541.875,72 74,stand,,,
-570.5 -1870.17 -541.875,73 75,stand,,,
-874.424 -1801.5 -541.875,74 76,stand,,,
-1013.97 -1801.28 -600.875,75 77,stand,,,
-1032.1 -1863.28 -600.875,76 78,stand,,,
-1280.58 -1855.45 -600.875,77 79,stand,,,
-1220.27 -1665.52 -600.875,78,stand,,,
-1038.65 -915.648 -602.875,81 82,stand,,,
-1230.6 -824.638 -602.875,80,stand,,,
-761.953 -875.146 -602.875,80 83,stand,,,
-708.611 -762.927 -602.875,82 84,stand,,,
-276.389 -751.715 -602.875,83 85,stand,,,
-202.652 -875.268 -602.875,84 86,stand,,,
415.547 -902.122 -602.875,85 87,stand,,,
