346
-108 -1316 584,1,stand,,,
202 -1305 704,0 2,stand,,,
195 -1141 712,1 3,stand,,,
151 -1061 720,2 4 229,stand,,,
238 -1030 720,3 5 6,climb,,,
330 -1093 720,4,stand,,,
239 -1042 832,4 307,climb,,,
463 -956 800,8 309,stand,,,
478 -853 800,7 9 308,stand,,,
560 -905 804,8 10,stand,,,
580 -1041 800,9,stand,,,
402 -689 800,12 308,stand,,,
176 -687 848,11 13,stand,,,
142 -516 848,12 243,stand,,,
198 -349 848,15 18 243,stand,,,
470 -359 848,14 16,stand,,,
670 -363 848,15 17,stand,,,
675 -512 880,16 21 337,stand,,,
-119 -347 848,14 19,stand,,,
-252 -364 848,18 20 246,stand,,,
-355 -509 888,19 46 223,stand,,,
805 -524 888,17 22 25,stand,,,
1015 -496 888,21 23 47 317,stand,,,
1183 -511 888,22 24 83 47,stand,,,
1100 -594 888,25 23,stand,,,
829 -587 892,24 26 21,stand,,,
819 -787 903,25 27,stand,,,
794 -879 903,26 28,stand,,,
824 -975 903,27 29,stand,,,
816 -1160 903,30 28,stand,,,
1336 -1187 903,29 31,stand,,,
1540 -1124 903,30 32,stand,,,
1577 -868 894,31 33,stand,,,
1557 -521 894,32 37,stand,,,
1603 226 894,35 37,stand,,,
1546 595 894,34 36,stand,,,
1136 622 888,35,stand,,,
1604 -154 894,34 33,stand,,,
-1242 -518 772,39,stand,,,
-1131 -519 772,38 40 345,stand,,,
-1146 -775 780,39 41 43 221,stand,,,
-1272 -880 780,40 42 43,stand,,,
-1431 -796 780,41,stand,,,
-1257 -784 780,41 40 221 336,stand,,,
-1242 -506 888,45 336,stand,,,
-892 -505 888,44 46 202,stand,,,
-714 -495 888,45 20 202 223 247,stand,,,
1031 -260 888,22 48 23 84 87,stand,,,
942 -151 888,47 49 67 84,stand,,,
909 -154 888,48 50 87,climb,,,
886 -152 1016,49 51,climb,,,
819 -147 1016,50 52 55 64,stand,,,
720 -255 1033,51 53 54 64,stand,,,
765 -408 1016,52,stand,,,
640 -300 1033,52,stand,,,
832 35 1016,51 56,stand,,,
807 243 1016,55 57 63,stand,,,
796 445 1016,56 58 62 323,stand,,,
793 704 1016,57 59 62 61 88,stand,,,
775 977 1016,58 60 61,stand,,,
691 982 1009,59 61 148,stand,,,
750 934 1016,60 62 59 58,stand,,,
727 607 1016,61 63 57 58,stand,,,
744 352 1016,62 64 56,stand,,,
796 124 1016,63 52 51,stand,,,
1066 431 888,66 70 71 323,stand,,,
1060 273 888,65 67 85,stand,,,
972 93 888,66 48 84 86,stand,,,
907 399 888,69,crouch,,,
937 494 888,68 70,crouch,,,
1081 494 888,69 65 71,crouch,,,
1157 389 888,65 72 70 85,crouch,,,
1232 254 888,71 80,crouch,,,
1284 183 1042,74 79,climb,,,
1360 184 1031,73 75 78,stand,,,
1399 54 1040,74,stand,,,
1399 -229 1040,77,stand,,,
1322 -246 1040,76 78,stand,,,
1323 -50 1040,77 74,stand,,,
1264 190 888,73 80 85 84,climb,,,
1242 164 888,72 79 313 314,stand,,,
1357 168 894,316,stand,,,
1356 -107 894,320 321,stand,,,
1208 -195 888,23 313 84,stand,,,
1093 -73 888,47 85 67 79 48 313 83,stand,,,
1153 152 888,84 71 66 79,stand,,,
852 88 888,67,stand,,,
852 -226 888,47 49,stand,,,
1019 707 1017,58 89,stand,,,
1110 707 1017,90 88 91 304 92,stand,,,
1102 628 1017,89 91,stand,,,
1256 623 1017,90 92 89,stand,,,
1257 846 1017,91 93 89,stand,,,
1205 989 1017,92 94,stand,,,
1123 966 1017,93 95 97 305,stand,,,
1055 966 1017,94,stand,,,
1055 899 1017,97,stand,,,
1127 899 1017,96 94 304,stand,,,
552 814 1056,99,stand,,,
484 804 1056,98 100,stand,,,
442 735 1046,99 101,stand,,,
446 555 970,100 102,crouch,,,
446 496 953,101 103,crouch,,,
382 483 949,102 104,crouch,,,
374 439 953,103 105,climb,,,
372 416 834,104 106 113,climb,,,
461 418 825,105 107 114,stand,,,
459 283 824,106 108,stand,,,
373 290 825,107 109 112,climb,,,
372 283 953,108 111,climb,,,
459 202 949,111,crouch,,,
372 233 949,110 109,crouch,,,
319 305 824,108 113 153 152,crouch,,,
314 409 824,112 105 152 298,crouch,,,
395 507 824,106 115,climb,,,
379 578 888,114 116,climb,,,
364 622 888,115 117 330 329,stand,,,
310 735 888,118 147 116 160 329,stand,,,
172 701 888,117 119,stand,,,
94 626 888,120 118 125 329,stand,,,
0 588 888,119 121 124,stand,,,
-128 599 888,120 122 124 149,stand,,,
-221 608 888,123 121,stand,,,
-114 746 888,122 124 125 133 126,stand,,,
-69 702 888,123 121 120,stand,,,
28 708 888,123 119,stand,,,
-108 872 888,127 123,stand,,,
-355 853 888,126 128 143,stand,,,
-507 857 888,127 129 131 132 143,stand,,,
-670 907 888,128 130,stand,,,
-925 883 888,129 135 146,stand,,,
